TAXID,GENUSNAME,SPECIESNAME,STRAIN,DBNAME,FILEPATH,chromosome_count,avg_length_chromosomes,max_length_chromosomes,min_length_chromosomes,contig_count,avg_length_contig,max_length_contig,min_length_contig,mtDNA_count,avg_length_mtDNA,max_length_mtDNA,min_length_mtDNA,plasmid_count,avg_length_plasmids,max_length_plasmids,min_length_plasmids
1344418,ascoidea,"rubescens dsm 1968","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Ascoidea_rubescens_dsm_1968.Ascru1.dna.toplevel.fa
",0,0,0,0,63,282456,3396963,1059,0,0,0,0,0,0,0,0
392613,ascosphaera,"apis arsef 7405","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Ascosphaera_apis_arsef_7405.AAP_1.0.dna.toplevel.fa
",0,0,0,0,82,251836,1618968,1115,0,0,0,0,0,0,0,0
284811,eremothecium,"gossypii atcc 10895","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Ashbya_gossypii.ASM9102v1.dna.toplevel.fa
",8,925499,1830965,23957,0,0,0,0,0,0,0,0,0,0,0,0
690307,aspergillus,"aculeatus atcc 16872","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_aculeatus_atcc_16872.Aspac1.dna.toplevel.fa
",0,0,0,0,660,54567,3789485,504,0,0,0,0,0,0,0,0
109264,aspergillus,bombycis,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_bombycis.ASM179269v1.dna.toplevel.fa
",0,0,0,0,450,84664,1212001,518,0,0,0,0,0,0,0,0
767769,aspergillus,"brasiliensis cbs 101740","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_brasiliensis_cbs_101740.Aspbr1.dna.toplevel.fa
",0,0,0,0,103,353396,4611652,1031,0,0,0,0,0,0,0,0
454130,aspergillus,calidoustus,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_calidoustus.Acal_Allpaths_LG.dna.toplevel.fa
",0,0,0,0,78,535724,4773522,1256,0,0,0,0,0,0,0,0
602072,aspergillus,"carbonarius item 5010","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_carbonarius_item_5010.Aspca3.dna.toplevel.fa
",0,0,0,0,829,44332,3145555,509,0,0,0,0,0,0,0,0
344612,aspergillus,"clavatus nrrl 1","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_clavatus.ASM271v1.dna.toplevel.fa
",0,0,0,0,143,198061,4563917,1019,0,0,0,0,0,0,0,0
573508,aspergillus,cristatus,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_cristatus.ASM171748v1.dna.toplevel.fa
",0,0,0,0,68,425403,5949103,1028,0,0,0,0,0,0,0,0
1392242,aspergillus,"flavus af70","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_flavus_af70.ASM95283v1.dna.toplevel.fa
",0,0,0,0,924,40740,301683,1219,0,0,0,0,0,0,0,0
332952,aspergillus,"flavus nrrl3357","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_flavus.JCVI-afl1-v2.0.dna.toplevel.fa
",0,0,0,0,331,113314,4543691,217,0,0,0,0,0,0,0,0
451804,aspergillus,"fumigatus a1163","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_fumigatusa1163.ASM15014v1.dna.toplevel.fa
",0,0,0,0,55,539838,4977602,1088,0,0,0,0,0,0,0,0
330879,aspergillus,"fumigatus af293","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_fumigatus.ASM265v1.dna.toplevel.fa
",8,3501379,5000962,2092640,0,0,0,0,0,0,0,0,0,0,0,0
1476192,aspergillus,"fumigatus var. rp-2014","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_fumigatus_var_rp_2014.AspFumNiv1.0.dna.toplevel.fa
",0,0,0,0,671,41446,478139,678,0,0,0,0,0,0,0,0
1437362,aspergillus,"fumigatus z5","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_fumigatus_z5.ASM102932v1.dna.toplevel.fa
",0,0,0,0,24,1243508,3325702,1201,0,0,0,0,0,0,0,0
1160497,aspergillus,"glaucus cbs 516.65","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_glaucus_cbs_516_65.Aspgl1.dna.toplevel.fa
",0,0,0,0,82,347058,1862330,1296,0,0,0,0,0,0,0,0
293939,aspergillus,lentulus,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_lentulus.Alt_assembly01.dna.toplevel.fa
",0,0,0,0,19,1656382,5147022,2376,0,0,0,0,0,0,0,0
1069201,aspergillus,luchuensis,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_luchuensis.AspL_2604.dna.toplevel.fa
",0,0,0,0,44,789383,3693666,35188,0,0,0,0,0,0,0,0
1137211,aspergillus,"luchuensis cbs 106.47","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_luchuensis_cbs_106_47.Aspfo1.dna.toplevel.fa
",0,0,0,0,100,380757,4336051,1528,0,0,0,0,0,0,0,0
227321,aspergillus,"nidulans fgsc a4","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_nidulans.ASM1142v1.dna.toplevel.fa
",8,3171009,4567090,2878731,0,0,0,0,0,0,0,0,0,0,0,0
227321,aspergillus,"nidulans fgsc a4","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_nidulans_fgsc_a4.ASM14920v2.dna.toplevel.fa
",0,0,0,0,248,123257,1132838,2185,0,0,0,0,0,0,0,0
5061,aspergillus,niger,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_niger.ASM285v2.dna.toplevel.fa
",0,0,0,0,19,1812829,3686520,267722,0,0,0,0,0,0,0,0
380704,aspergillus,"niger atcc 1015","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_niger_atcc_1015.ASPNI_v3.0.dna.toplevel.fa
",0,0,0,0,24,1475826,3837318,16832,0,0,0,0,0,0,0,0
5061,aspergillus,niger,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_niger_gca_001515345.ASM151534v1.dna.toplevel.fa
",0,0,0,0,669,53006,3970990,307,0,0,0,0,0,0,0,0
1509407,aspergillus,"nomius nrrl 13137","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_nomius_nrrl_13137.ASM120477v1.dna.toplevel.fa
",0,0,0,0,1118,32863,462703,211,0,0,0,0,0,0,0,0
138278,aspergillus,ochraceoroseus,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_ochraceoroseus.ASM98666v1.dna.toplevel.fa
",0,0,0,0,3590,6874,110122,204,0,0,0,0,0,0,0,0
1197718,aspergillus,"oryzae 100-8","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_oryzae_100_8.Aspergillus_oryzae_100-8.dna.toplevel.fa
",0,0,0,0,210,178005,1362090,1095,0,0,0,0,0,0,0,0
1160506,aspergillus,"oryzae 3.042","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_oryzae_3_042.AspOry3042.dna.toplevel.fa
",0,0,0,0,225,165139,1485465,234,0,0,0,0,0,0,0,0
510516,aspergillus,"oryzae rib40","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_oryzae.ASM18445v3.dna.toplevel.fa
",8,4809942,6628938,2982373,3,9200,18530,9070,1,29689,29689,29689,0,0,0,0
5062,aspergillus,oryzae,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_oryzae_gca_002007945.ASM200794v1.dna.toplevel.fa
",0,0,0,0,25,1565899,5127429,4299,0,0,0,0,0,0,0,0
1403190,aspergillus,"parasiticus su-1","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_parasiticus_su_1.ASM95608v1.dna.toplevel.fa
",0,0,0,0,753,53285,493071,304,0,0,0,0,0,0,0,0
308745,aspergillus,rambellii,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_rambellii.ASM98664v1.dna.toplevel.fa
",0,0,0,0,4177,6434,169715,204,0,0,0,0,0,0,0,0
1388766,aspergillus,"ruber cbs 135680","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_ruber_cbs_135680.Eurhe1.dna.toplevel.fa
",0,0,0,0,110,242228,1589942,1108,0,0,0,0,0,0,0,0
1036612,aspergillus,"sydowii cbs 593.65","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_sydowii_cbs_593_65.Aspsy1.dna.toplevel.fa
",0,0,0,0,97,360339,5630109,1164,0,0,0,0,0,0,0,0
341663,aspergillus,"terreus nih2624","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_terreus.ASM14961v1.dna.toplevel.fa
",0,0,0,0,26,1146452,2797688,13361,1,33375,33375,33375,0,0,0,0
767770,aspergillus,"tubingensis cbs 134.48","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_tubingensis_cbs_134_48.Asptu1.dna.toplevel.fa
",0,0,0,0,33,1082740,4883664,1514,0,0,0,0,0,0,0,0
91492,aspergillus,udagawae,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_udagawae.Aud_assembly01.dna.toplevel.fa
",0,0,0,0,1029,31800,1033123,102,0,0,0,0,0,0,0,0
40382,aspergillus,ustus,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_ustus.Austus1.0.dna.toplevel.fa
",0,0,0,0,770,50636,1051046,509,0,0,0,0,0,0,0,0
1036611,aspergillus,"versicolor cbs 583.65","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_versicolor_cbs_583_65.Aspve1.dna.toplevel.fa
",0,0,0,0,51,660346,5107581,1299,0,0,0,0,0,0,0,0
1073089,aspergillus,"wentii dto 134e9","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aspergillus_wentii_dto_134e9.Aspwe1.dna.toplevel.fa
",0,0,0,0,27,1180444,5154665,1206,0,0,0,0,0,0,0,0
1043003,aureobasidium,"melanogenum cbs 110374","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aureobasidium_melanogenum_cbs_110374.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0.dna.toplevel.fa
",0,0,0,0,150,177593,2764530,1039,0,0,0,0,0,0,0,0
1043004,aureobasidium,"namibiae cbs 147.97","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aureobasidium_namibiae_cbs_147_97.Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0.dna.toplevel.fa
",0,0,0,0,47,550003,2525883,4607,0,0,0,0,0,0,0,0
5580,aureobasidium,pullulans,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aureobasidium_pullulans.ASM167811v1.dna.toplevel.fa
",0,0,0,0,1352,13233,134702,1020,0,0,0,0,0,0,0,0
1043002,aureobasidium,"pullulans exf-150","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aureobasidium_pullulans_exf_150.Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0.dna.toplevel.fa
",0,0,0,0,186,161902,2732382,1105,0,0,0,0,0,0,0,0
1043005,aureobasidium,"subglaciale exf-2481","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Aureobasidium_subglaciale_exf_2481.Aureobasidium_pullulans_var._subglaciale_EXF-2481_v1.0.dna.toplevel.fa
",0,0,0,0,75,349673,2177654,1208,0,0,0,0,0,0,0,0
984486,babjeviella,"inositovora nrrl y-12698","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Babjeviella_inositovora_nrrl_y_12698.Babin1.dna.toplevel.fa
",0,0,0,0,49,315783,2683002,1490,0,0,0,0,0,0,0,0
684364,batrachochytrium,"dendrobatidis jam81","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Batrachochytrium_dendrobatidis_jam81.v1.0.dna.toplevel.fa
",0,0,0,0,127,194635,4503092,3769,0,0,0,0,0,0,0,0
403673,batrachochytrium,"dendrobatidis jel423","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Batrachochytrium_dendrobatidis_jel423.BD_JEL423.dna.toplevel.fa
",0,0,0,0,351,68290,869936,981,0,0,0,0,0,0,0,0
1357716,batrachochytrium,salamandrivorans,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Batrachochytrium_salamandrivorans.Batr_sala_BS_V1.dna.toplevel.fa
",0,0,0,0,5358,6192,70074,1020,0,0,0,0,0,0,0,0
717646,baudoinia,"panamericana uamh 10762","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Baudoinia_panamericana_uamh_10762.Bauco1.dna.toplevel.fa
",0,0,0,0,19,1170426,2060848,6926,0,0,0,0,0,0,0,0
655819,beauveria,"bassiana arsef 2860","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Beauveria_bassiana_arsef_2860.ASM28067v1.dna.toplevel.fa
",0,0,0,0,237,144550,2119170,1039,0,0,0,0,0,0,0,0
176275,beauveria,bassiana,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Beauveria_bassiana.ASM168263v1.dna.toplevel.fa
",0,0,0,0,12,2958491,6165888,145369,0,0,0,0,0,0,0,0
1245745,beauveria,"bassiana d1-5","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Beauveria_bassiana_d1_5.BBA1.0.dna.toplevel.fa
",0,0,0,0,1744,21371,194929,494,1,32854,32854,32854,0,0,0,0
665024,bipolaris,"maydis atcc 48331","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Bipolaris_maydis_atcc_48331.CocheC4_1.dna.toplevel.fa
",0,0,0,0,207,161725,2315109,993,0,0,0,0,0,0,0,0
701091,bipolaris,"maydis c5","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Bipolaris_maydis_c5.CocheC5_3.dna.toplevel.fa
",0,0,0,0,68,545014,4283445,3586,0,0,0,0,0,0,0,0
930090,bipolaris,"oryzae atcc 44560","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Bipolaris_oryzae_atcc_44560.Cochliobolus_miyabeanus_v1.0.dna.toplevel.fa
",0,0,0,0,619,51509,649131,955,0,0,0,0,0,0,0,0
665912,bipolaris,"sorokiniana nd90pr","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Bipolaris_sorokiniana_nd90pr.Cocsa1.dna.toplevel.fa
",0,0,0,0,154,227147,3703202,2048,0,0,0,0,0,0,0,0
930091,bipolaris,"victoriae fi3","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Bipolaris_victoriae_fi3.Cochliobolus_victoriae_v1.0.dna.toplevel.fa
",0,0,0,0,676,49372,884872,951,0,0,0,0,0,0,0,0
930089,bipolaris,"zeicola 26-r-13","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Bipolaris_zeicola_26_r_13.Cochliobolus_carbonum_v1.0.dna.toplevel.fa
",0,0,0,0,844,37664,509827,979,0,0,0,0,0,0,0,0
653446,blastomyces,"dermatitidis atcc 18188","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Blastomyces_dermatitidis_atcc_18188.BD_ATCC18188_V1.dna.toplevel.fa
",0,0,0,0,4159,17987,2417673,509,1,51923,51923,51923,0,0,0,0
447095,blastomyces,"dermatitidis atcc 26199","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Blastomyces_dermatitidis_atcc_26199.BD_ATCC26199_V2.dna.toplevel.fa
",0,0,0,0,3282,22153,1446310,510,0,0,0,0,0,0,0,0
559297,blastomyces,"dermatitidis er-3","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Blastomyces_dermatitidis_er_3.BD_ER3_V1.dna.toplevel.fa
",0,0,0,0,27,2508027,10473741,2760,0,0,0,0,0,0,0,0
559298,blastomyces,"gilchristii slh14081","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Blastomyces_gilchristii_slh14081.BD_SLH14081_V1.dna.toplevel.fa
",0,0,0,0,103,744265,8311133,2896,0,0,0,0,0,0,0,0
1658174,blastomyces,percursus,"",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Blastomyces_percursus.Blas_perc_EI222_V1.dna.toplevel.fa
",0,0,0,0,3868,8492,72593,1021,0,0,0,0,0,0,0,0
546991,blumeria,"graminis f. sp. hordei dh14","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Blumeria_graminis.EF2.dna.toplevel.fa
",0,0,0,0,318,397991,10016877,5314,0,0,0,0,0,0,0,0
1268274,blumeria,"graminis f. sp. tritici 96224","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Blumeria_graminis_f_sp_tritici_96224.Bgt_454_newbler_assembly.dna.toplevel.fa
",0,0,0,0,1867,86552,5290487,2035,0,0,0,0,0,0,0,0
930990,botryobasidium,"botryosum fd-172 ss1","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Botryobasidium_botryosum_fd_172_ss1.Botbo1.dna.toplevel.fa
",0,0,0,0,334,142066,2198857,2039,0,0,0,0,0,0,0,0
332648,botrytis,"cinerea b05.10","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Botrytis_cinerea.ASM83294v1.dna.toplevel.fa
",18,2396018,4177863,251278,0,0,0,0,0,0,0,0,0,0,0,0
1290391,botrytis,"cinerea bcdw1","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Botrytis_cinerea_bcdw1.BcDW1.dna.toplevel.fa
",0,0,0,0,454,94349,717620,207,0,0,0,0,0,0,0,0
999810,botrytis,"cinerea t4","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Botrytis_cinerea_t4.BotFuc_Mar2011.dna.toplevel.fa
",0,0,0,0,118,340241,1494218,22108,0,0,0,0,0,0,0,0
1124627,brettanomyces,"bruxellensis awri1499","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Brettanomyces_bruxellensis_awri1499.AWRI1499_v1.0.dna.toplevel.fa
",0,0,0,0,324,39775,173146,1014,0,0,0,0,0,0,0,0
1356009,byssochlamys,"spectabilis no. 5","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Byssochlamys_spectabilis_no_5.PVAR5_assembly01.dna.toplevel.fa
",0,0,0,0,1053,28735,483457,102,0,0,0,0,0,0,0,0
1353952,calocera,"cornea hhb12733","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Calocera_cornea_hhb12733.Calco1.dna.toplevel.fa
",0,0,0,0,545,62015,602079,1036,0,0,0,0,0,0,0,0
1330018,calocera,"viscosa tufc12733","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Calocera_viscosa_tufc12733.Calvi1.dna.toplevel.fa
",0,0,0,0,214,138230,1259218,1042,0,0,0,0,0,0,0,0
1094981,candida,"albicans 12c","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_12c.Cand_albi_12C_V2.dna.toplevel.fa
",0,0,0,0,50,302884,1469428,1218,0,0,0,0,0,0,0,0
1094987,candida,"albicans 19f","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_19f.Cand_albi_19F_V2.dna.toplevel.fa
",0,0,0,0,60,246927,1536404,1041,0,0,0,0,0,0,0,0
1165368,candida,"albicans ca6","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_ca6.Cand_albi_Ca6_V2.dna.toplevel.fa
",0,0,0,0,82,182446,1444945,1072,0,0,0,0,0,0,0,0
1094988,candida,"albicans gc75","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_gc75.Cand_albi_GC75_V1.dna.toplevel.fa
",0,0,0,0,73,204666,1498615,1387,0,0,0,0,0,0,0,0
1094982,candida,"albicans l26","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_l26.Cand_albi_L26_V2.dna.toplevel.fa
",0,0,0,0,57,258906,1626911,1089,0,0,0,0,0,0,0,0
1094991,candida,"albicans p34048","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_p34048.Cand_albi_P34048_V1.dna.toplevel.fa
",0,0,0,0,52,284308,1647027,2069,0,0,0,0,0,0,0,0
1094985,candida,"albicans p37005","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_p37005.Cand_albi_P37005_V2.dna.toplevel.fa
",0,0,0,0,45,326969,1725856,1220,0,0,0,0,0,0,0,0
1094992,candida,"albicans p37037","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_p37037.Cand_albi_P37037_V1.dna.toplevel.fa
",0,0,0,0,48,306575,1720555,1528,0,0,0,0,0,0,0,0
1094993,candida,"albicans p37039","",ENSEMBLE,"/u/home/a/akarlsbe/scratch/fungi/ENSEMBLE/Candida_albicans_p37039.Cand_albi_P37039_V1.dna.toplevel.fa
",0,0,0,0,50,295292,1709684,1294,0,0,0,0,0,0,0,0
